"id","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"7dfbd4a728a78aaefc6415a7baf59694278bb942","Simulated Multiple Reference Training Improves Low-Resource Machine Translation","A novel MT training method is introduced that approximates the full space of possible translations by: sampling a paraphrase of the reference sentence from a paraphraser and training the MT model to predict the paraphrasers' distribution over possible tokens.","Conference on Empirical Methods in Natural Language Processing",2020,"Huda Khayrallah,Brian Thompson,Matt Post,Philipp Koehn",18,41,2,"https://www.semanticscholar.org/paper/7dfbd4a728a78aaefc6415a7baf59694278bb942"
"7d226921c29b32cd68b404b11c71f99b8dd65f7e","SMRT Chatbots: Improving Non-Task-Oriented Dialog with Simulated Multiple Reference Training","Simulated Multiple Reference Training is comparable to pretraining in human evaluation quality, and outperforms pretraining on automatic quality and lexical diversity, without requiring related-domain dialog data.","Conference on Empirical Methods in Natural Language Processing",2020,"Huda Khayrallah,João Sedoc",2,46,0,"https://www.semanticscholar.org/paper/7d226921c29b32cd68b404b11c71f99b8dd65f7e"
"0025d6dd25836a82a6855c326d4dfa6cac561f8f","Paraphrase Generation as Zero-Shot Multilingual Translation: Disentangling Semantic Similarity from Lexical and Syntactic Diversity","A simple paraphrase generation algorithm which discourages the production of n-grams that are present in the input and which produces paraphrases that better preserve meaning and are more gramatical, for the same level of lexical diversity.","Conference on Machine Translation",2020,"Brian Thompson,Matt Post",26,49,1,"https://www.semanticscholar.org/paper/0025d6dd25836a82a6855c326d4dfa6cac561f8f"
"a86a303477ee91d66304e87d91a41471af056ec9","Learning to Generalize to More: Continuous Semantic Augmentation for Neural Machine Translation","A novel data augmentation paradigm termed Continuous Semantic Augmentation (CsaNMT), which augments each training instance with an adjacency semantic region that could cover adequate variants of literal expression under the same meaning, is presented.","Annual Meeting of the Association for Computational Linguistics",2022,"Xiangpeng Wei,Heng Yu,Yue Hu,Rongxiang Weng,Weihua Luo,Jun Xie,Rong Jin",4,66,0,"https://www.semanticscholar.org/paper/a86a303477ee91d66304e87d91a41471af056ec9"
"59c7687040245b36a079923f1fc55a889d47f227","Monotonic Simultaneous Translation with Chunk-wise Reordering and Refinement","An algorithm is proposed to reorder and refine the target side of a full sentence translation corpus, so that the words/phrases between the source and target sentences are aligned largely monotonically, using word alignment and non-autoregressive neural machine translation.","Conference on Machine Translation",2021,"HyoJung Han,Seokchan Ahn,Yoonjung Choi,Insoo Chung,Sangha Kim,Kyunghyun Cho",2,55,0,"https://www.semanticscholar.org/paper/59c7687040245b36a079923f1fc55a889d47f227"
"f2e15f3f2c3d4f7e8cf8445435e40d65d828ffd5","Data Augmentation for Low-Resource Neural Machine Translation","A novel data augmentation approach that targets low-frequency words by generating new sentence pairs containing rare words in new, synthetically created contexts that improves translation quality on simulated low-resource settings.","Annual Meeting of the Association for Computational Linguistics",2017,"Marzieh Fadaee,Arianna Bisazza,Christof Monz",344,16,23,"https://www.semanticscholar.org/paper/f2e15f3f2c3d4f7e8cf8445435e40d65d828ffd5"
"b4491aa9c5a906f060b5c9b6b24db3b11cd44238","Improved Statistical Machine Translation Using Paraphrases","This work shows how techniques from paraphrasing can be used to deal with otherwise unknown source language phrases and shows that augmenting a state-of-the-art SMT system with paraphrases leads to significantly improved coverage and translation quality.","North American Chapter of the Association for Computational Linguistics",2006,"Chris Callison-Burch,Philipp Koehn,M. Osborne",335,28,26,"https://www.semanticscholar.org/paper/b4491aa9c5a906f060b5c9b6b24db3b11cd44238"
"ba8adc6bdb2dc0653597ecf728da5798c582ec19","Are Multiple Reference Translations Necessary? Investigating the Value of Paraphrased Reference Translations in Parameter Optimization","This analysis suggests that it is necessary to invest in four or more human translations in order to significantly improve on a single translation augmented by monolingual paraphrases.","Conference of the Association for Machine Translation in the Americas",2008,"Nitin Madnani,P. Resnik,B. Dorr,R. Schwartz",36,18,2,"https://www.semanticscholar.org/paper/ba8adc6bdb2dc0653597ecf728da5798c582ec19"
"7ecf212e3ab4413dfea6a179f36565fe0d028616","Using Paraphrases for Parameter Tuning in Statistical Machine Translation","This paper introduces a new full-sentence paraphrase technique, based on English-to-English decoding with an MT system, and demonstrates that the resulting paraphrases can be used to drastically reduce the number of human reference translations needed for parameter tuning, without a significant decrease in translation quality.","WMT@ACL",2007,"Nitin Madnani,N. F. Ayan,P. Resnik,B. Dorr",88,28,3,"https://www.semanticscholar.org/paper/7ecf212e3ab4413dfea6a179f36565fe0d028616"
"e127e8d56bf179e5e311bcc933ae764308b3d417","Improved Statistical Machine Translation Using Monolingually-Derived Paraphrases","This work presents what is to their knowledge the first successful integration of a collocational approach to untranslated words with an end-to-end, state of the art SMT system demonstrating significant translation improvements in a low-resource setting.","Conference on Empirical Methods in Natural Language Processing",2009,"Yuval Marton,Chris Callison-Burch,P. Resnik",171,41,13,"https://www.semanticscholar.org/paper/e127e8d56bf179e5e311bcc933ae764308b3d417"
